payee,date,amount,note,category,transaction_key,normalized_payee
AMAZON MKTPL*ZX4MG5Y Amzn.com/bill WA        12/12,2024-12-12,-19.25,p,Miscellaneous Income,AMAZON MKTPL*ZX4MG5Y Amzn.com/bill WA        12/12|2024-12-12 00:00:00|-19.25,AMAZON MKTPL*ZX4MG5Y AMZN.COM/BILL WA
APPLE.COM/BILL 866-712-7753 CA               12/12,2024-12-12,-10.69,p,Software & Subscriptions,APPLE.COM/BILL 866-712-7753 CA               12/12|2024-12-12 00:00:00|-10.69,APPLE.COM/BILL 866-712-7753 CA
SP MYPAUME.COM TORONTO ON                    12/11,2024-12-12,-83.52,p,Miscellaneous Expenses,SP MYPAUME.COM TORONTO ON                    12/11|2024-12-12 00:00:00|-83.52,SP MYPAUME.COM TORONTO ON
ARAMARK IU NORTH COFFEE CARMEL IN            12/11,2024-12-12,-3.58,p,Meals & Entertainment,ARAMARK IU NORTH COFFEE CARMEL IN            12/11|2024-12-12 00:00:00|-3.58,ARAMARK IU NORTH COFFEE CARMEL IN
CHICK-FIL-A #01939 CARMEL IN                 12/10,2024-12-12,-19.55,p,Meals & Entertainment,CHICK-FIL-A #01939 CARMEL IN                 12/10|2024-12-12 00:00:00|-19.55,CHICK-FIL-A #01939 CARMEL IN
Nyx*NAYAX VENDING 50 HUNT VALLEY MD          12/10,2024-12-12,-1.5,p,Snacks,Nyx*NAYAX VENDING 50 HUNT VALLEY MD          12/10|2024-12-12 00:00:00|-1.5,NYX*NAYAX VENDING 50 HUNT VALLEY MD
Amazon.com*ZX2QR9U12 Amzn.com/bill WA        12/11,2024-12-12,-89.47,p,Office Supplies,Amazon.com*ZX2QR9U12 Amzn.com/bill WA        12/11|2024-12-12 00:00:00|-89.47,AMAZON.COM*ZX2QR9U12 AMZN.COM/BILL WA
PAYPAL           INST XFER  FARMERSFRID     WEB ID: PAYPALSI77,2024-12-11,-42.31,p,Meals & Entertainment,PAYPAL           INST XFER  FARMERSFRID     WEB ID: PAYPALSI77|2024-12-11 00:00:00|-42.31,FARMERSFRID
"WHO GIVES A CRAP, IN US.WHOGIVESAC NY        12/11",2024-12-11,-72.76,p,Charitable Contributions,"WHO GIVES A CRAP, IN US.WHOGIVESAC NY        12/11|2024-12-11 00:00:00|-72.76","WHO GIVES A CRAP, IN US.WHOGIVESAC NY"
Online Transfer to CHK ...9516 transaction#: 23003429337 12/10,2024-12-10,-200.0,p,Personal Withdrawal / Transfer,Online Transfer to CHK ...9516 transaction#: 23003429337 12/10|2024-12-10 00:00:00|-200.0,ONLINE TRANSFER TO CHK ...9516 TRANSACTION#: 23003429337
Online Transfer to CHK ...9516 transaction#: 23003405877 12/10,2024-12-10,-700.0,p,Miscellaneous,Online Transfer to CHK ...9516 transaction#: 23003405877 12/10|2024-12-10 00:00:00|-700.0,ONLINE TRANSFER TO CHK ...9516 TRANSACTION#: 23003405877
IN CHILD SUPPORT IN18000         0007886214 CCD ID: 1356000158,2024-12-10,290.0,p,Other Expenses,IN CHILD SUPPORT IN18000         0007886214 CCD ID: 1356000158|2024-12-10 00:00:00|290.0,IN CHILD SUPPORT IN18000 0007886214 CCD ID: 1356000158
BRB UPL          LOAN                       PPD ID: 9088597265,2024-12-10,13501.5,business loan deposit - I took out a personal loan to cover business expenses and this is the deposit of the borrowed funds,Financing,BRB UPL          LOAN                       PPD ID: 9088597265|2024-12-10 00:00:00|13501.5,BRB UPL LOAN PPD ID: 9088597265
AffirmCard       5649 AFFRM                 PPD ID: 1842224323,2024-12-09,-35.0,p,Miscellaneous Expense,AffirmCard       5649 AFFRM                 PPD ID: 1842224323|2024-12-09 00:00:00|-35.0,AFFIRMCARD 5649 AFFRM PPD ID: 1842224323
Experian* Credit Repor 479-3436237 CA        12/09,2024-12-09,-24.99,p,Professional Services,Experian* Credit Repor 479-3436237 CA        12/09|2024-12-09 00:00:00|-24.99,EXPERIAN* CREDIT REPOR 479-3436237 CA
AMAZON MKTPL*ZX04S3N Amzn.com/bill WA        12/09,2024-12-09,-29.95,p,Refunds & Reimbursements,AMAZON MKTPL*ZX04S3N Amzn.com/bill WA        12/09|2024-12-09 00:00:00|-29.95,AMAZON MKTPL*ZX04S3N AMZN.COM/BILL WA
AMC 4259 PLAINFIELD 18 PLAINFIELD IN         12/07,2024-12-09,-23.94,p,Refunds/Credits,AMC 4259 PLAINFIELD 18 PLAINFIELD IN         12/07|2024-12-09 00:00:00|-23.94,AMC 4259 PLAINFIELD 18 PLAINFIELD IN
AMAZON MKTPL*ZR4C29R Amzn.com/bill WA        12/08,2024-12-09,-12.83,p,Office Supplies,AMAZON MKTPL*ZR4C29R Amzn.com/bill WA        12/08|2024-12-09 00:00:00|-12.83,AMAZON MKTPL*ZR4C29R AMZN.COM/BILL WA
CHICK-FIL-A #01939 CARMEL IN                 12/07,2024-12-09,-22.12,p,Meals & Entertainment,CHICK-FIL-A #01939 CARMEL IN                 12/07|2024-12-09 00:00:00|-22.12,CHICK-FIL-A #01939 CARMEL IN
AMC 9640 ONLINE 888-440-4262 KS              12/08,2024-12-09,-72.93,p,Entertainment,AMC 9640 ONLINE 888-440-4262 KS              12/08|2024-12-09 00:00:00|-72.93,AMC 9640 ONLINE 888-440-4262 KS
APPLE.COM/BILL 866-712-7753 CA               12/08,2024-12-09,-8.99,p,Software & Subscriptions,APPLE.COM/BILL 866-712-7753 CA               12/08|2024-12-09 00:00:00|-8.99,APPLE.COM/BILL 866-712-7753 CA
TST*SAHMS ALE HOUSE VIL Fishers IN           12/06,2024-12-09,-21.24,p,Meals & Entertainment Adjustment,TST*SAHMS ALE HOUSE VIL Fishers IN           12/06|2024-12-09 00:00:00|-21.24,TST*SAHMS ALE HOUSE VIL FISHERS IN
TST* CAFE PATACHOU CLAY CARMEL IN            12/06,2024-12-09,-27.25,p,Meals & Entertainment,TST* CAFE PATACHOU CLAY CARMEL IN            12/06|2024-12-09 00:00:00|-27.25,TST* CAFE PATACHOU CLAY CARMEL IN
ZING! CAFE  LLC CARMEL IN                    12/06,2024-12-09,-5.5,p,Meals & Entertainment Refund,ZING! CAFE  LLC CARMEL IN                    12/06|2024-12-09 00:00:00|-5.5,ZING! CAFE LLC CARMEL IN
APPLE.COM/BILL 866-712-7753 CA               12/07,2024-12-09,-21.39,p,Software & Subscriptions,APPLE.COM/BILL 866-712-7753 CA               12/07|2024-12-09 00:00:00|-21.39,APPLE.COM/BILL 866-712-7753 CA
BUSINESSOLVER BE 8775476257                 PPD ID: 1421503807,2024-12-06,-1115.03,p,Payroll Deductions,BUSINESSOLVER BE 8775476257                 PPD ID: 1421503807|2024-12-06 00:00:00|-1115.03,BUSINESSOLVER BE 8775476257 PPD ID: 1421503807
AES PLUS AES.COM VA                          12/06,2024-12-06,-96.6,p,Office Supplies,AES PLUS AES.COM VA                          12/06|2024-12-06 00:00:00|-96.6,AES PLUS AES.COM VA
SQ *WESTFIELD WINE VAUL Westfield IN         12/05,2024-12-06,-24.52,p,Uncategorized,SQ *WESTFIELD WINE VAUL Westfield IN         12/05|2024-12-06 00:00:00|-24.52,SQ *WESTFIELD WINE VAUL WESTFIELD IN
DD *DOORDASH BUBSBURG 855-431-0459 CA        12/06,2024-12-06,-33.82,p,Meals & Entertainment,DD *DOORDASH BUBSBURG 855-431-0459 CA        12/06|2024-12-06 00:00:00|-33.82,DD *DOORDASH BUBSBURG 855-431-0459 CA
WEST CLAY WINE & SPIRIT CARMEL IN            12/05,2024-12-06,-32.09,p,Personal Expenses,WEST CLAY WINE & SPIRIT CARMEL IN            12/05|2024-12-06 00:00:00|-32.09,WEST CLAY WINE & SPIRIT CARMEL IN
TST*SAHMS ALE HOUSE V 317-430-3292 IN        12/06,2024-12-06,-17.7,p,Meals & Entertainment,TST*SAHMS ALE HOUSE V 317-430-3292 IN        12/06|2024-12-06 00:00:00|-17.7,TST*SAHMS ALE HOUSE V 317-430-3292 IN
MCDONALD'S F33737 MOORESVILLE IN             12/05,2024-12-06,-7.42,p,Meals & Entertainment,MCDONALD'S F33737 MOORESVILLE IN             12/05|2024-12-06 00:00:00|-7.42,MCDONALD'S F33737 MOORESVILLE IN
VENMO            REPAYMENT  1038704330848   WEB ID: 3364681992,2024-12-05,-1670.92,p,Reimbursement,VENMO            REPAYMENT  1038704330848   WEB ID: 3364681992|2024-12-05 00:00:00|-1670.92,1038704330848
FSP*URBAN SOCIETY SALON CARMEL IN            12/04,2024-12-05,-340.72,p,Personal Care,FSP*URBAN SOCIETY SALON CARMEL IN            12/04|2024-12-05 00:00:00|-340.72,FSP*URBAN SOCIETY SALON CARMEL IN
ZING! CAFE  LLC CARMEL IN                    12/04,2024-12-05,-7.32,p,Meals & Entertainment,ZING! CAFE  LLC CARMEL IN                    12/04|2024-12-05 00:00:00|-7.32,ZING! CAFE LLC CARMEL IN
PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77,2024-12-04,-21.99,Personal expense,PERSONAL,PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77|2024-12-04 00:00:00|-21.99,GODADDY.COM
AffirmCard       5644 AFFRM                 PPD ID: 1842224323,2024-12-04,-239.1,p,Loan Repayment,AffirmCard       5644 AFFRM                 PPD ID: 1842224323|2024-12-04 00:00:00|-239.1,AFFIRMCARD 5644 AFFRM PPD ID: 1842224323
PAYPAL           INST XFER  LLBEANINC       WEB ID: PAYPALSI77,2024-12-04,-180.99,p,Office Supplies,PAYPAL           INST XFER  LLBEANINC       WEB ID: PAYPALSI77|2024-12-04 00:00:00|-180.99,LLBEANINC
AMAZON MKTPL*ZL6QM4E Amzn.com/bill WA        12/04,2024-12-04,-33.53,p,Please provide more details to assign a category.,AMAZON MKTPL*ZL6QM4E Amzn.com/bill WA        12/04|2024-12-04 00:00:00|-33.53,AMAZON MKTPL*ZL6QM4E AMZN.COM/BILL WA
DD *DOORDASH PAPAJOHN 855-431-0459 CA        12/04,2024-12-04,-45.04,p,Meals & Entertainment,DD *DOORDASH PAPAJOHN 855-431-0459 CA        12/04|2024-12-04 00:00:00|-45.04,DD *DOORDASH PAPAJOHN 855-431-0459 CA
TST*CAFE PATACHOU-ZIONS Zionsville IN        12/03,2024-12-04,-28.14,p,Meals & Entertainment,TST*CAFE PATACHOU-ZIONS Zionsville IN        12/03|2024-12-04 00:00:00|-28.14,TST*CAFE PATACHOU-ZIONS ZIONSVILLE IN
ZING! CAFE  LLC CARMEL IN                    12/03,2024-12-04,-7.32,p,Meals & Entertainment,ZING! CAFE  LLC CARMEL IN                    12/03|2024-12-04 00:00:00|-7.32,ZING! CAFE LLC CARMEL IN
PAYPAL           INST XFER  PPCR CC REPAYME WEB ID: PAYPALSI77,2024-12-03,-90.0,p,Loan Repayment,PAYPAL           INST XFER  PPCR CC REPAYME WEB ID: PAYPALSI77|2024-12-03 00:00:00|-90.0,PPCR CC REPAYME WEB ID: PAYPALSI77
PARAMOUNT+ 888-274-5343 CA                   12/03,2024-12-03,-12.99,p,Subscriptions & Memberships,PARAMOUNT+ 888-274-5343 CA                   12/03|2024-12-03 00:00:00|-12.99,PARAMOUNT+ 888-274-5343 CA
TST*SAHMS ALE HOUSE VIL Fishers IN           12/02,2024-12-03,-38.25,p,Meals & Entertainment,TST*SAHMS ALE HOUSE VIL Fishers IN           12/02|2024-12-03 00:00:00|-38.25,TST*SAHMS ALE HOUSE VIL FISHERS IN
AD CREA* AD CREA ENTER PARIS                 12/02,2024-12-03,-29.0,subscription to an AI ad creative generation service for business,Software Subscription,AD CREA* AD CREA ENTER PARIS                 12/02|2024-12-03 00:00:00|-29.0,AD CREA* AD CREA ENTER PARIS
BLAZE PIZZA 1026 - EC 317-993-3535 IN        12/02,2024-12-03,-16.71,p,Meals & Entertainment,BLAZE PIZZA 1026 - EC 317-993-3535 IN        12/02|2024-12-03 00:00:00|-16.71,BLAZE PIZZA 1026 - EC 317-993-3535 IN
MEIJER # 130 CARMEL IN                       12/02,2024-12-03,-40.85,p,Office Supplies,MEIJER # 130 CARMEL IN                       12/02|2024-12-03 00:00:00|-40.85,MEIJER # 130 CARMEL IN
Amazon web services aws.amazon.co WA         12/02,2024-12-03,-12.75,AWS platform expense for the business,Software & Subscriptions,Amazon web services aws.amazon.co WA         12/02|2024-12-03 00:00:00|-12.75,AMAZON WEB SERVICES AWS.AMAZON.CO WA
DD *DOORDASH TROPICAL 855-431-0459 CA        12/03,2024-12-03,-11.91,p,Meals & Entertainment,DD *DOORDASH TROPICAL 855-431-0459 CA        12/03|2024-12-03 00:00:00|-11.91,DD *DOORDASH TROPICAL 855-431-0459 CA
ZING! CAFE  LLC CARMEL IN                    12/02,2024-12-03,-19.56,p,Meals & Entertainment,ZING! CAFE  LLC CARMEL IN                    12/02|2024-12-03 00:00:00|-19.56,ZING! CAFE LLC CARMEL IN
SUPERPROF* PASSELEVE PARIS - FRANC           12/02,2024-12-03,-49.0,p,Education & Training,SUPERPROF* PASSELEVE PARIS - FRANC           12/02|2024-12-03 00:00:00|-49.0,SUPERPROF* PASSELEVE PARIS - FRANC
APPLE.COM/BILL 866-712-7753 CA               12/03,2024-12-03,-25.66,p,Please provide more details for accurate categorization.,APPLE.COM/BILL 866-712-7753 CA               12/03|2024-12-03 00:00:00|-25.66,APPLE.COM/BILL 866-712-7753 CA
IN CHILD SUPPORT IN18000         0007886214 CCD ID: 1356000158,2024-12-03,162.0,p,Other Expenses,IN CHILD SUPPORT IN18000         0007886214 CCD ID: 1356000158|2024-12-03 00:00:00|162.0,IN CHILD SUPPORT IN18000 0007886214 CCD ID: 1356000158
ADOBE  *800-833-6687 800-833-6687 CA         02/10,2024-02-12,-58.84,adobe creative suite subscription used for various business purposes,Software Subscriptions,ADOBE  *800-833-6687 800-833-6687 CA         02/10|2024-02-12 00:00:00|-58.84,ADOBE *800-833-6687 800-833-6687 CA
ADOBE  *800-833-6687 800-833-6687 CA         08/27,2024-08-27,-69.99,adobe creative suite subscription used for various business purposes,Software Subscriptions,,ADOBE *800-833-6687 800-833-6687 CA
ADOBE  *800-833-6687 800-833-6687 CA         03/10,2024-03-11,-58.84,adobe creative suite subscription used for various business purposes,Software Subscriptions,,ADOBE *800-833-6687 800-833-6687 CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        12/28,2024-12-30,-69.99,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        12/10,2024-12-10,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        11/28,2024-11-29,-69.99,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        11/10,2024-11-12,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        10/28,2024-10-28,-69.99,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        10/10,2024-10-10,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        09/28,2024-09-30,-69.99,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        09/10,2024-09-10,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        08/10,2024-08-12,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        07/10,2024-07-10,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        06/10,2024-06-10,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        05/11,2024-05-13,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        04/10,2024-04-10,-64.19,adobe subscription used for various business purposes,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        01/10,2024-01-10,-58.84,same as the others - software subscription,Software Subscription,,ADOBE *800-833-6687 ADOBE.LY/ENUS CA
ADORAMA INC. 800-223-2500 NY                 09/16,2024-09-16,-1153.32,drone purchase to shoot videos for social media business presence,Equipment Purchase,,ADORAMA INC. 800-223-2500 NY
AMAZON MKTPL*CD1SI2J Amzn.com/bill WA        10/01,2024-10-01,-56.16,office supplies,Office Supplies,,AMAZON MKTPL*CD1SI2J AMZN.COM/BILL WA
AMZN Digital*GM3C83WE 888-802-3080 WA        09/30,2024-10-01,-16.99,book purchase for technical product research,Research & Development,,AMZN DIGITAL*GM3C83WE 888-802-3080 WA
AMZN Digital*K67VZ1R2 888-802-3080 WA        10/30,2024-10-31,-16.99,Research & dev,Software & Subscriptions,,AMZN DIGITAL*K67VZ1R2 888-802-3080 WA
